"filename", "language", "JavaScript", "YAML", "Markdown", "JSON", "HTML", "TypeScript", "JSON with Comments", "Properties", "Docker", "TypeScript JSX", "PostCSS", "MS SQL", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\types\reportOrganization.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\functions\chat\index.ts", "TypeScript", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 13, 131
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260313113439_12beb873-661e-4be0-b120-769e29e49af8.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 10, 47
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260313114452_8a069c85-ba36-44a0-a563-9f459050c478.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 8, 21, 120
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260313121403_6ae6f63c-5d00-49d0-8f39-826bae180616.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 3, 7, 44
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260322000000_storage_policies.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 48, 11, 65
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260414000000_add_inspector_code_to_profiles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260415001000_add_is_dark_mode_to_profiles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260415002000_add_client_submission_id_to_inspections.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260415003000_add_show_detailed_results_to_profiles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260502000000_add_not_fresh_classification.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260503001000_add_market_locations.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260508000000_fix_rls_policies.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 24, 18, 74
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260508010000_add_audit_logs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 8, 42
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260508121000_add_captured_at_to_inspections.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260508193000_harden_audit_logs_rls.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 6, 23
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260517090000_add_user_chat_messages.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 10, 45
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260531010000_add_onboarding_fields_to_profiles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260620010000_add_passkey_credentials.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260624000000_add_passkey_credentials_rls.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260625010000_add_user_sessions.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 5, 21
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\migrations\20260628010000_add_report_organization_to_profiles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 6, 44
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\README.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 38
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\confirmation.html", "HTML", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 174
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\email_change.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\invite.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\magic_link.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\reauthentication.html", "HTML", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\supabase\templates\recovery.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\test\AppSessionService.test.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\test\PasskeyCeremonyStore.test.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\test\SessionLimitService.test.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 14, 84
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\test\reportOrganization.test.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\docker-compose.yml", "YAML", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\documentation\ARCHITECTURE.md", "Markdown", 0, 0, 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 454
